zip,i,filename,size,compress_size,is_dir,extract_dir
2025-06-13.zip,0,2025-06-13.pdf,794671,715425,False,/mnt/data/_template1_work_2025-06-14/extracted/2025-06-13
2025-06-13.zip,1,2025-06-14-Analysis-Detalis-Python.pdf,535981,514749,False,/mnt/data/_template1_work_2025-06-14/extracted/2025-06-13
2025-06-14-Analytics-Logs.zip,0,2025-06-13.docx,59257,56523,False,/mnt/data/_template1_work_2025-06-14/extracted/2025-06-14-Analytics-Logs
2025-06-14-Analytics-Logs.zip,1,2025-06-14-Analytics-Logs.docx,36547,33360,False,/mnt/data/_template1_work_2025-06-14/extracted/2025-06-14-Analytics-Logs
2025-06-14-Analytics-Logs.zip,2,C-2025-06-14-Analysis-Detalis-Python.docx,15075,12383,False,/mnt/data/_template1_work_2025-06-14/extracted/2025-06-14-Analytics-Logs
C-2024-06-14-Analytics-Logs.zip,0,bug_type_145_2025-06-14.docx,12790,10086,False,/mnt/data/_template1_work_2025-06-14/extracted/C-2024-06-14-Analytics-Logs
C-2024-06-14-Analytics-Logs.zip,1,bug_type_145_2025-06-14-1.docx,12930,10230,False,/mnt/data/_template1_work_2025-06-14/extracted/C-2024-06-14-Analytics-Logs
C-2024-06-14-Analytics-Logs.zip,2,bug_type_211_2025-06-14.docx,12842,10139,False,/mnt/data/_template1_work_2025-06-14/extracted/C-2024-06-14-Analytics-Logs
C-2024-06-14-Analytics-Logs.zip,3,bug_type_225_2025-06-14.docx,12649,9948,False,/mnt/data/_template1_work_2025-06-14/extracted/C-2024-06-14-Analytics-Logs
C-2024-06-14-Analytics-Logs.zip,4,bug_type_225_2025-06-14-1.docx,12651,9956,False,/mnt/data/_template1_work_2025-06-14/extracted/C-2024-06-14-Analytics-Logs
C-2024-06-14-Analytics-Logs.zip,5,bug_type_233_2025-06-14.docx,12514,9809,False,/mnt/data/_template1_work_2025-06-14/extracted/C-2024-06-14-Analytics-Logs
C-2024-06-14-Analytics-Logs.zip,6,C-2024-06-14-Analytics-Logs.docx,20617,17849,False,/mnt/data/_template1_work_2025-06-14/extracted/C-2024-06-14-Analytics-Logs
H.zip,0,{.84368154682.-[]}.pdf,9254,9254,False,/mnt/data/_template1_work_2025-06-14/extracted/H
H.zip,1,"{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf",123001,123001,False,/mnt/data/_template1_work_2025-06-14/extracted/H
H.zip,2,"{.-[],.84372503446.-[],.84368154682.-[],.0368154682.-[],.0372503446….pdf",10462,10462,False,/mnt/data/_template1_work_2025-06-14/extracted/H
H.zip,3,{.84368154682.-[]}.pdf,9254,9254,False,/mnt/data/_template1_work_2025-06-14/extracted/H
H.zip,4,"{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf",123001,123001,False,/mnt/data/_template1_work_2025-06-14/extracted/H
H.zip,5,AudioClientLifeBOX.zip,228,228,False,/mnt/data/_template1_work_2025-06-14/extracted/H
H.zip,6,DocumentClientLifeBOX.zip,234,234,False,/mnt/data/_template1_work_2025-06-14/extracted/H
H.zip,7,Media.zip,174,174,False,/mnt/data/_template1_work_2025-06-14/extracted/H
H.zip,8,My-Viettel-App-MDM.pdf,3367647,3367647,False,/mnt/data/_template1_work_2025-06-14/extracted/H
H.zip,9,steChat.data,61440,61440,False,/mnt/data/_template1_work_2025-06-14/extracted/H
H.zip,10,viettel.der,1650,1650,False,/mnt/data/_template1_work_2025-06-14/extracted/H
Tajima.zip,0,不正証拠/_____________csv__preview_.csv,445,445,False,/mnt/data/_template1_work_2025-06-14/extracted/Tajima
Tajima.zip,1,不正証拠/viettel_bundle_analysis_report.txt,458,458,False,/mnt/data/_template1_work_2025-06-14/extracted/Tajima
Tajima.zip,2,____________.csv,445,445,False,/mnt/data/_template1_work_2025-06-14/extracted/Tajima
Tajima.zip,3,history_search.txt,68,68,False,/mnt/data/_template1_work_2025-06-14/extracted/Tajima
Tajima.zip,4,viettel.der,1650,1650,False,/mnt/data/_template1_work_2025-06-14/extracted/Tajima
Tajima.zip,5,viettel.zip,1666,1666,False,/mnt/data/_template1_work_2025-06-14/extracted/Tajima
cloudd-_diskwrites_risoce-2025-0614-12034.zip,0,bug_type_145-com.apple.StreamingUnzipService-2025-0614-112134.docx,17303,14363,False,/mnt/data/_template1_work_2025-06-14/extracted/cloudd-_diskwrites_risoce-2025-0614-12034
cloudd-_diskwrites_risoce-2025-0614-12034.zip,1,bug_type_298-2025-0614-112611.docx,16723,13780,False,/mnt/data/_template1_work_2025-06-14/extracted/cloudd-_diskwrites_risoce-2025-0614-12034
cloudd-_diskwrites_risoce-2025-0614-12034.zip,2,cloudd-_diskwrites_risoce-2025-0614-12034.docx,17012,14064,False,/mnt/data/_template1_work_2025-06-14/extracted/cloudd-_diskwrites_risoce-2025-0614-12034
